"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.701203100E-2,2.705625153E1,1.363125038E1,-9.322500610E1,9.802424953E1
3.701203100E-2,2.709375191E1,1.432500076E1,-9.481875610E1,9.964875086E1
4.701203100E-2,2.690625191E1,1.408125019E1,-9.551250458E1,1.002240816E2
5.701203100E-2,2.690625191E1,1.374375057E1,-9.583125305E1,1.004811730E2
6.701203100E-2,2.696250153E1,1.380000019E1,-9.541875458E1,1.001107148E2
7.701203100E-2,2.690625191E1,1.361250019E1,-9.513750458E1,9.980176016E1
8.701203100E-2,2.703750038E1,1.323750019E1,-9.493125153E1,9.959016194E1
9.701203100E-2,2.683125114E1,1.312500095E1,-9.489375305E1,9.948369744E1
1.070120310E-1,2.683125114E1,1.312500095E1,-9.495000458E1,9.953735508E1
1.170120310E-1,2.701875114E1,1.271250057E1,-9.461250305E1,9.921263185E1
1.270120310E-1,2.726250076E1,1.271250057E1,-9.418125153E1,9.886839615E1
1.370120310E-1,2.739375114E1,1.260000038E1,-9.375000000E1,9.847964313E1
1.470120310E-1,2.713125038E1,1.256250095E1,-9.401250458E1,9.865227922E1
1.570120310E-1,2.741250038E1,1.258125019E1,-9.386250305E1,9.858956594E1
1.670120310E-1,2.737500191E1,1.275000095E1,-9.401250458E1,9.874362901E1
1.770120310E-1,2.760000038E1,1.275000095E1,-9.388125610E1,9.868137004E1
1.870120310E-1,2.743125153E1,1.261875057E1,-9.406875610E1,9.879593768E1
1.970120310E-1,2.715000153E1,1.275000095E1,-9.384375000E1,9.852073143E1
2.070120310E-1,2.683125114E1,1.250625038E1,-9.395625305E1,9.850938952E1
2.170120310E-1,2.679375076E1,1.254375076E1,-9.397500610E1,9.852183786E1
2.270120310E-1,2.715000153E1,1.237500095E1,-9.356250000E1,9.820491147E1
2.370120310E-1,2.696250153E1,1.243125057E1,-9.376875305E1,9.835695973E1
2.470120310E-1,2.692500114E1,1.260000038E1,-9.360000610E1,9.820731561E1
2.570120310E-1,2.703750038E1,1.250625038E1,-9.343125153E1,9.806544492E1
2.670120310E-1,2.735625076E1,1.252500057E1,-9.309375000E1,9.783499570E1
2.770120310E-1,2.739375114E1,1.248750019E1,-9.333750153E1,9.807264886E1
2.870120310E-1,2.748750114E1,1.280625057E1,-9.326250458E1,9.806863685E1
2.970120310E-1,2.767500114E1,1.290000057E1,-9.313125610E1,9.800891065E1
3.070120310E-1,2.775000191E1,1.286250019E1,-9.286875153E1,9.777582281E1
3.170120310E-1,2.771250153E1,1.286250019E1,-9.262500000E1,9.753367253E1
3.270120310E-1,2.778750038E1,1.282500076E1,-9.260625458E1,9.753227265E1
3.370120310E-1,2.786250114E1,1.293750095E1,-9.266250610E1,9.762191321E1
3.470120310E-1,2.769375038E1,1.303125095E1,-9.262500000E1,9.755074544E1
3.570120310E-1,2.776875114E1,1.291875076E1,-9.247500610E1,9.741470328E1
3.670120310E-1,2.793750191E1,1.276875019E1,-9.228750610E1,9.726524959E1
3.770120310E-1,2.782500076E1,1.267500019E1,-9.221250153E1,9.714953286E1
3.870120310E-1,2.767500114E1,1.303125095E1,-9.256875610E1,9.749201914E1
3.970120310E-1,2.773125076E1,1.303125095E1,-9.256875610E1,9.750800160E1
4.070120310E-1,2.760000038E1,1.295625019E1,-9.255000305E1,9.744294487E1
4.170120310E-1,2.739375114E1,1.276875019E1,-9.264375305E1,9.744908190E1
4.270120310E-1,2.728125191E1,1.265625095E1,-9.301875305E1,9.775958169E1
4.370120310E-1,2.735625076E1,1.261875057E1,-9.305625153E1,9.781136575E1
4.470120310E-1,2.720625114E1,1.254375076E1,-9.311250305E1,9.781341426E1
4.570120310E-1,2.696250153E1,1.248750019E1,-9.330000305E1,9.791733615E1
4.670120310E-1,2.703750038E1,1.248750019E1,-9.326250458E1,9.790229235E1
4.770120310E-1,2.716875076E1,1.239375019E1,-9.322500610E1,9.789099971E1
4.870120310E-1,2.726250076E1,1.233750057E1,-9.331875610E1,9.799922504E1
4.970120310E-1,2.733750153E1,1.252500057E1,-9.324375153E1,9.797250547E1
5.070120310E-1,2.761875153E1,1.260000038E1,-9.290625000E1,9.774009788E1
5.170120310E-1,2.754375076E1,1.265625095E1,-9.286875153E1,9.769055177E1
5.270120310E-1,2.752500153E1,1.256250095E1,-9.305625153E1,9.785145930E1
5.370120310E-1,2.761875153E1,1.267500019E1,-9.311250305E1,9.794584876E1
5.470120310E-1,2.756250191E1,1.222500038E1,-9.303750610E1,9.780142989E1
5.570120310E-1,2.748750114E1,1.235625076E1,-9.324375153E1,9.799304491E1
