"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.543078400E-2,3.468750238E0,1.209375095E1,-7.770000458E1,7.871201784E1
2.543078400E-2,-2.501250076E1,1.875000000E1,-9.806250572E0,3.276202443E1
3.543078400E-2,-2.531250191E1,1.878750038E1,-9.731250763E0,3.299075878E1
4.543078400E-2,-2.523750114E1,1.891875076E1,-9.468750000E0,3.293186635E1
5.543078400E-2,-2.518125153E1,1.905000114E1,-9.281250000E0,3.291108588E1
6.543078400E-2,-2.499375153E1,1.925625038E1,-9.412500381E0,3.292546063E1
7.543078400E-2,-2.488125038E1,1.946250153E1,-9.487500191E0,3.298299935E1
8.543078400E-2,-2.482500076E1,1.968750000E1,-9.562500000E0,3.309561490E1
9.543078400E-2,-2.467500114E1,1.978125000E1,-9.637500763E0,3.306107914E1
1.054307840E-1,-2.452500153E1,1.987500000E1,-9.543750763E0,3.297839450E1
1.154307840E-1,-2.433750153E1,1.983750153E1,-9.487500191E0,3.280019980E1
1.254307840E-1,-2.416875076E1,1.978125000E1,-9.600000381E0,3.267394026E1
1.354307840E-1,-2.433750153E1,1.974375153E1,-9.637500763E0,3.278736229E1
1.454307840E-1,-2.437500191E1,1.965000153E1,-9.431250572E0,3.269880373E1
1.554307840E-1,-2.435625076E1,1.953750038E1,-9.337500572E0,3.259033276E1
1.654307840E-1,-2.430000114E1,1.950000000E1,-8.868750572E0,3.239436359E1
1.754307840E-1,-2.420625114E1,1.963125038E1,-8.812500000E0,3.238809569E1
1.854307840E-1,-2.437500191E1,1.974375153E1,-8.737500191E0,3.256225348E1
1.954307840E-1,-2.430000114E1,1.989375114E1,-8.550000191E0,3.254771718E1
2.054307840E-1,-2.450625038E1,1.981875038E1,-8.362500191E0,3.260783010E1
2.154307840E-1,-2.445000076E1,1.966875076E1,-8.418750763E0,3.248903905E1
2.254307840E-1,-2.441250038E1,1.966875076E1,-8.418750763E0,3.246082710E1
2.354307840E-1,-2.456250191E1,1.987500000E1,-8.568750381E0,3.273767872E1
2.454307840E-1,-2.461875153E1,1.966875076E1,-8.681250572E0,3.268496282E1
2.554307840E-1,-2.461875153E1,1.963125038E1,-8.587500572E0,3.263761763E1
2.654307840E-1,-2.460000038E1,1.961250114E1,-8.400000572E0,3.256332645E1
2.754307840E-1,-2.452500153E1,1.970625114E1,-8.381250381E0,3.255852257E1
2.854307840E-1,-2.428125191E1,1.991250038E1,-8.475000381E0,3.252556682E1
2.954307840E-1,-2.403750038E1,2.000625038E1,-8.287500381E0,3.235327096E1
3.054307840E-1,-2.418750191E1,2.010000038E1,-8.418750763E0,3.255642223E1
3.154307840E-1,-2.403750038E1,1.996875000E1,-8.193750381E0,3.230619053E1
3.254307840E-1,-2.390625000E1,2.011875153E1,-8.400000572E0,3.235479812E1
3.354307840E-1,-2.396250153E1,2.023125076E1,-8.550000191E0,3.250549938E1
3.454307840E-1,-2.418750191E1,1.995000076E1,-8.812500000E0,3.256835788E1
3.554307840E-1,-2.430000114E1,2.006250000E1,-9.037500381E0,3.278216550E1
3.654307840E-1,-2.435625076E1,2.000625038E1,-9.037500381E0,3.278953215E1
3.754307840E-1,-2.431875038E1,2.019375038E1,-9.093750000E0,3.289202736E1
3.854307840E-1,-2.415000153E1,1.991250038E1,-9.112500191E0,3.260012124E1
3.954307840E-1,-2.430000114E1,1.968750000E1,-9.281250000E0,3.262252770E1
4.054307840E-1,-2.443125153E1,1.953750038E1,-9.187500000E0,3.260383610E1
4.154307840E-1,-2.437500191E1,1.940625000E1,-9.018750191E0,3.243579985E1
4.254307840E-1,-2.422500038E1,1.966875076E1,-9.037500381E0,3.248671749E1
4.354307840E-1,-2.422500038E1,1.955625153E1,-9.262500763E0,3.248217261E1
4.454307840E-1,-2.431875038E1,1.951875114E1,-9.075000763E0,3.247674407E1
4.554307840E-1,-2.448750114E1,1.936875153E1,-9.075000763E0,3.251371844E1
4.654307840E-1,-2.471250153E1,1.955625153E1,-8.906250000E0,3.274867928E1
4.754307840E-1,-2.461875153E1,1.978125000E1,-9.075000763E0,3.285934292E1
4.854307840E-1,-2.461875153E1,1.968750000E1,-9.000000000E0,3.278232120E1
4.954307840E-1,-2.471250153E1,1.978125000E1,-8.981250763E0,3.290392755E1
5.054307840E-1,-2.456250191E1,1.970625114E1,-8.981250763E0,3.274623183E1
5.154307840E-1,-2.469375038E1,1.940625000E1,-8.662500381E0,3.257948373E1
5.254307840E-1,-2.478750038E1,1.944375038E1,-8.812500000E0,3.271299070E1
5.354307840E-1,-2.473125076E1,1.948125076E1,-8.906250000E0,3.271811707E1
5.454307840E-1,-2.467500114E1,1.923750114E1,-9.225000381E0,3.261959172E1
5.554307840E-1,-2.484375191E1,1.914375114E1,-8.981250763E0,3.262450125E1
5.654307840E-1,-2.484375191E1,1.923750114E1,-9.037500381E0,3.269510471E1
5.754307840E-1,-2.471250153E1,1.929375076E1,-9.187500000E0,3.267057861E1
5.854307840E-1,-2.476875114E1,1.910625076E1,-8.943750381E0,3.253506604E1
5.954307840E-1,-2.475000191E1,1.927500153E1,-9.150000572E0,3.267737426E1
