"event","experiment time","system time","system time text"
"START",0.000000000E0,1713261957.909,"2024-04-16 12:05:57.909 UTC+02:00"
"PAUSE",1.272380385E1,1713261970.633,"2024-04-16 12:06:10.633 UTC+02:00"
