"event","experiment time","system time","system time text"
"START",0.000000000E0,1713261845.816,"2024-04-16 12:04:05.816 UTC+02:00"
"PAUSE",1.822417359E1,1713261864.040,"2024-04-16 12:04:24.040 UTC+02:00"
