"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.750569280E-1,2.878125191E1,1.117500019E1,-9.438750458E1,9.930882192E1
6.850569280E-1,2.896875191E1,1.147500038E1,-9.455625153E1,9.955776677E1
6.950569280E-1,2.904375076E1,1.151250076E1,-9.455625153E1,9.958394366E1
7.050569280E-1,2.900625038E1,1.125000000E1,-9.429375458E1,9.929369171E1
7.150569280E-1,2.898750114E1,1.134375000E1,-9.438750458E1,9.938791127E1
7.250569280E-1,2.898750114E1,1.145625019E1,-9.433125305E1,9.934740154E1
7.350569280E-1,2.883750153E1,1.128750038E1,-9.435000610E1,9.930222964E1
7.450569280E-1,2.893125153E1,1.126875019E1,-9.446250153E1,9.943423073E1
7.550569280E-1,2.906250191E1,1.113750076E1,-9.438750458E1,9.938648782E1
7.650569280E-1,2.915625191E1,1.095000076E1,-9.427500153E1,9.928628029E1
7.750569280E-1,2.902500153E1,1.087500000E1,-9.418125153E1,9.915051426E1
7.850569280E-1,2.911875153E1,1.123125076E1,-9.435000610E1,9.937789662E1
7.950569280E-1,2.895000076E1,1.121250057E1,-9.438750458E1,9.936208398E1
8.050569280E-1,2.895000076E1,1.121250057E1,-9.433125305E1,9.930865026E1
8.150569280E-1,2.919375038E1,1.138125038E1,-9.416250610E1,9.923903203E1
8.250569280E-1,2.908125114E1,1.130625057E1,-9.418125153E1,9.921521360E1
8.350569280E-1,2.913750076E1,1.143750000E1,-9.405000305E1,9.912221462E1
8.450569280E-1,2.904375076E1,1.115625000E1,-9.410625458E1,9.911603565E1
8.550569280E-1,2.895000076E1,1.134375000E1,-9.438750458E1,9.937698038E1
8.650569280E-1,2.911875153E1,1.125000000E1,-9.429375458E1,9.932661447E1
8.750569280E-1,2.902500153E1,1.098750019E1,-9.408750153E1,9.907388060E1
8.850569280E-1,2.910000038E1,1.081875038E1,-9.421875000E1,9.920195680E1
8.950569280E-1,2.902500153E1,1.078125000E1,-9.436875153E1,9.931841385E1
9.050569280E-1,2.904375076E1,1.065000057E1,-9.414375305E1,9.909595456E1
9.150569280E-1,2.919375038E1,1.065000057E1,-9.418125153E1,9.917563064E1
9.250569280E-1,2.906250191E1,1.087500000E1,-9.410625458E1,9.909027093E1
9.350569280E-1,2.917500114E1,1.059375000E1,-9.393750000E1,9.893261412E1
9.450569280E-1,2.893125153E1,1.042500019E1,-9.408750153E1,9.898563475E1
9.550569280E-1,2.913750076E1,1.065000057E1,-9.420000458E1,9.917689915E1
9.650569280E-1,2.949375153E1,1.083750057E1,-9.384375000E1,9.896455028E1
9.750569280E-1,2.934375191E1,1.053750038E1,-9.380625153E1,9.885194745E1
9.850569280E-1,2.955000114E1,1.066875076E1,-9.375000000E1,9.887409828E1
9.950569280E-1,2.928750038E1,1.070625019E1,-9.373125458E1,9.878223300E1
1.005056928E0,2.945625114E1,1.057500076E1,-9.369375610E1,9.878269740E1
1.015056928E0,2.962500191E1,1.089375019E1,-9.388125610E1,9.904546824E1
1.025056928E0,2.968125153E1,1.087500000E1,-9.386250305E1,9.904247471E1
1.035056928E0,2.960625076E1,1.091250038E1,-9.403125000E1,9.918411529E1
1.045056928E0,2.940000153E1,1.110000038E1,-9.423750305E1,9.933920213E1
1.055056928E0,2.934375191E1,1.121250057E1,-9.435000610E1,9.944194083E1
1.065056928E0,2.919375038E1,1.128750038E1,-9.455625153E1,9.960204530E1
1.075056928E0,2.906250191E1,1.136250019E1,-9.480000305E1,9.980368734E1
1.085056928E0,2.904375076E1,1.149375057E1,-9.502500153E1,1.000269797E2
1.095056928E0,2.881875038E1,1.136250019E1,-9.491250610E1,9.983992487E1
1.105056928E0,2.889375114E1,1.143750000E1,-9.500625610E1,9.995926150E1
1.115056928E0,2.874375153E1,1.134375000E1,-9.472500610E1,9.963789790E1
1.125056928E0,2.866875076E1,1.096875000E1,-9.444375610E1,9.930676620E1
1.135056928E0,2.872500038E1,1.089375019E1,-9.440625000E1,9.927909890E1
1.145056928E0,2.893125153E1,1.070625019E1,-9.431250000E1,9.922947528E1
1.155056928E0,2.896875191E1,1.066875076E1,-9.420000458E1,9.912946934E1
1.165056928E0,2.904375076E1,1.065000057E1,-9.429375458E1,9.923847098E1
1.175056928E0,2.881875038E1,1.055625057E1,-9.435000610E1,9.921632150E1
1.185056928E0,2.874375153E1,1.055625057E1,-9.420000458E1,9.905189822E1
