"event","experiment time","system time","system time text"
"START",0.000000000E0,1713262018.994,"2024-04-16 12:06:58.994 UTC+02:00"
"PAUSE",1.404728250E1,1713262033.042,"2024-04-16 12:07:13.042 UTC+02:00"
