"event","experiment time","system time","system time text"
"START",0.000000000E0,1713262056.918,"2024-04-16 12:07:36.918 UTC+02:00"
"PAUSE",1.019752323E1,1713262067.116,"2024-04-16 12:07:47.116 UTC+02:00"
