"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.362772300E-2,-9.056250572E0,1.458750057E1,-6.285000229E1,6.515315522E1
4.362772300E-2,-9.318750381E0,1.441875076E1,-6.403125000E1,6.629283867E1
5.362772300E-2,-8.962500572E0,1.443750095E1,-6.420000458E1,6.641090602E1
6.362772300E-2,-9.150000572E0,1.443750095E1,-6.416250610E1,6.640023444E1
7.362772300E-2,-9.018750191E0,1.423125076E1,-6.405000305E1,6.622891547E1
8.362772300E-2,-8.943750381E0,1.411875057E1,-6.401250458E1,6.615837461E1
9.362772300E-2,-8.887500763E0,1.395000076E1,-6.397500229E1,6.607867363E1
1.036277230E-1,-8.962500572E0,1.391250038E1,-6.416250610E1,6.626244240E1
1.136277230E-1,-9.056250572E0,1.374375057E1,-6.427500153E1,6.634894253E1
1.236277230E-1,-8.906250000E0,1.366875076E1,-6.412500000E1,6.616775394E1
1.336277230E-1,-9.187500000E0,1.353750038E1,-6.406875610E1,6.612472746E1
1.436277230E-1,-9.037500381E0,1.346250057E1,-6.412500000E1,6.614326088E1
1.536277230E-1,-9.150000572E0,1.336875057E1,-6.420000458E1,6.621243531E1
1.636277230E-1,-9.206250191E0,1.320000076E1,-6.429375458E1,6.627731090E1
1.736277230E-1,-9.093750000E0,1.340625095E1,-6.433125305E1,6.633953552E1
1.836277230E-1,-8.775000572E0,1.348125076E1,-6.399375153E1,6.598442992E1
1.936277230E-1,-8.550000191E0,1.335000038E1,-6.375000381E1,6.569161286E1
2.036277230E-1,-8.493750572E0,1.335000038E1,-6.373125076E1,6.566611480E1
2.136277230E-1,-8.175000191E0,1.336875057E1,-6.371250153E1,6.561125643E1
2.236277230E-1,-8.250000000E0,1.335000038E1,-6.378750229E1,6.568965260E1
2.336277230E-1,-8.193750381E0,1.344375038E1,-6.369375229E1,6.561071597E1
2.436277230E-1,-8.137500763E0,1.351875019E1,-6.369375229E1,6.561912531E1
2.536277230E-1,-8.268750191E0,1.320000076E1,-6.354375076E1,6.542492270E1
2.636277230E-1,-8.475000381E0,1.305000019E1,-6.360000229E1,6.547586141E1
2.736277230E-1,-8.793750763E0,1.308750057E1,-6.367500305E1,6.559816108E1
2.836277230E-1,-9.037500381E0,1.303125095E1,-6.376875305E1,6.571106285E1
2.936277230E-1,-9.300000191E0,1.291875076E1,-6.384375381E1,6.579824485E1
3.036277230E-1,-9.525000572E0,1.288125038E1,-6.367500305E1,6.565941106E1
3.136277230E-1,-9.768750191E0,1.261875057E1,-6.373125076E1,6.569881026E1
3.236277230E-1,-9.618750572E0,1.263750076E1,-6.360000229E1,6.555293341E1
3.336277230E-1,-9.637500763E0,1.269375038E1,-6.361875153E1,6.558474110E1
3.436277230E-1,-9.450000763E0,1.290000057E1,-6.367500305E1,6.565225467E1
3.536277230E-1,-9.300000191E0,1.269375038E1,-6.391875076E1,6.582725880E1
3.636277230E-1,-9.168750763E0,1.252500057E1,-6.373125076E1,6.559431342E1
3.736277230E-1,-8.906250000E0,1.275000095E1,-6.363750076E1,6.551042144E1
3.836277230E-1,-8.587500572E0,1.276875019E1,-6.369375229E1,6.552617972E1
3.936277230E-1,-8.493750572E0,1.282500076E1,-6.397500229E1,6.579836899E1
4.036277230E-1,-8.662500381E0,1.291875076E1,-6.401250458E1,6.587513777E1
4.136277230E-1,-8.700000763E0,1.288125038E1,-6.393750381E1,6.579985577E1
4.236277230E-1,-9.037500381E0,1.275000095E1,-6.380625153E1,6.569228776E1
4.336277230E-1,-8.925000191E0,1.295625019E1,-6.375000381E1,6.566264565E1
4.436277230E-1,-9.093750000E0,1.323750019E1,-6.373125076E1,6.572366411E1
4.536277230E-1,-9.150000572E0,1.286250019E1,-6.356250381E1,6.549319287E1
4.636277230E-1,-9.112500191E0,1.260000038E1,-6.352500153E1,6.540048538E1
4.736277230E-1,-9.018750191E0,1.275000095E1,-6.343125153E1,6.532552372E1
4.836277230E-1,-9.131250381E0,1.275000095E1,-6.333750153E1,6.525014450E1
4.936277230E-1,-9.112500191E0,1.260000038E1,-6.367500305E1,6.554619503E1
5.036277230E-1,-8.868750572E0,1.252500057E1,-6.380625153E1,6.562597131E1
5.136277230E-1,-8.981250763E0,1.248750019E1,-6.380625153E1,6.563412420E1
5.236277230E-1,-8.550000191E0,1.243125057E1,-6.390000153E1,6.565705361E1
5.336277230E-1,-8.568750381E0,1.282500076E1,-6.401250458E1,6.584455080E1
5.436277230E-1,-8.756250381E0,1.303125095E1,-6.382500076E1,6.572759044E1
5.536277230E-1,-8.812500000E0,1.299375057E1,-6.367500305E1,6.558203812E1
5.636277230E-1,-8.756250381E0,1.291875076E1,-6.382500076E1,6.570537850E1
5.736277230E-1,-8.737500191E0,1.293750095E1,-6.365625381E1,6.554266923E1
5.836277230E-1,-8.981250763E0,1.305000019E1,-6.356250381E1,6.550692529E1
5.936277230E-1,-8.775000572E0,1.291875076E1,-6.356250381E1,6.545293460E1
6.036277230E-1,-9.112500191E0,1.273125076E1,-6.358125305E1,6.548051730E1
6.136277230E-1,-9.225000381E0,1.258125019E1,-6.375000381E1,6.563117761E1
6.236277230E-1,-8.868750572E0,1.256250095E1,-6.367500305E1,6.550555076E1
6.336277230E-1,-8.700000763E0,1.265625095E1,-6.375000381E1,6.557387962E1
6.436277230E-1,-8.568750381E0,1.273125076E1,-6.356250381E1,6.538883789E1
6.536277230E-1,-8.550000191E0,1.301250076E1,-6.345000076E1,6.533245959E1
6.636277230E-1,-8.306250572E0,1.299375057E1,-6.358125305E1,6.542482015E1
6.736277230E-1,-8.437500000E0,1.327500057E1,-6.360000229E1,6.551623721E1
6.836277230E-1,-8.231250763E0,1.346250057E1,-6.356250381E1,6.549186440E1
6.936277230E-1,-8.231250763E0,1.327500057E1,-6.333750153E1,6.523509967E1
7.036277230E-1,-8.362500191E0,1.321875095E1,-6.350625229E1,6.540421138E1
7.136277230E-1,-8.381250381E0,1.316250038E1,-6.337500381E1,6.526781659E1
7.236277230E-1,-8.325000763E0,1.305000019E1,-6.322500229E1,6.509231181E1
7.336277230E-1,-8.231250763E0,1.310625076E1,-6.341250229E1,6.527382894E1
7.436277230E-1,-8.550000191E0,1.297500038E1,-6.343125153E1,6.530678991E1
7.536277230E-1,-8.493750572E0,1.276875019E1,-6.333750153E1,6.516765977E1
7.636277230E-1,-8.718750000E0,1.256250095E1,-6.333750153E1,6.515728763E1
7.736277230E-1,-8.568750381E0,1.286250019E1,-6.341250229E1,6.526877386E1
7.836277230E-1,-8.625000000E0,1.273125076E1,-6.348750305E1,6.532333744E1
7.936277230E-1,-8.700000763E0,1.271250057E1,-6.343125153E1,6.527496729E1
8.036277230E-1,-8.756250381E0,1.282500076E1,-6.356250381E1,6.543198344E1
8.136277230E-1,-8.962500572E0,1.267500019E1,-6.352500153E1,6.539424948E1
8.236277230E-1,-8.700000763E0,1.291875076E1,-6.365625381E1,6.553398190E1
8.336277230E-1,-8.625000000E0,1.303125095E1,-6.373125076E1,6.561917746E1
8.436277230E-1,-8.418750763E0,1.312500095E1,-6.358125305E1,6.546538592E1
8.536277230E-1,-8.493750572E0,1.286250019E1,-6.358125305E1,6.542295812E1
8.636277230E-1,-8.456250191E0,1.336875057E1,-6.348750305E1,6.542854654E1
8.736277230E-1,-8.362500191E0,1.342500019E1,-6.350625229E1,6.544620783E1
8.836277230E-1,-8.137500763E0,1.331250095E1,-6.352500153E1,6.541305236E1
8.936277230E-1,-8.006250381E0,1.336875057E1,-6.322500229E1,6.511700585E1
9.036277230E-1,-7.968750477E0,1.303125095E1,-6.311250305E1,6.493460192E1
9.136277230E-1,-8.193750381E0,1.291875076E1,-6.316875076E1,6.499479010E1
